Sensitivity/Biomass Scaled Average (tonne/day);Sensitivity/Biomass Price ($/tonne);Sensitivity/Biomass Gasification Ratio (kg/kg);Architecture/LR6-72 (kW);Architecture/Bio (kW);Architecture/Grid (kW);Architecture/Conv (kW);Architecture/Dispatch;Cost/NPC ($);Cost/LCOE ($/kWh);Cost/Operating cost ($/yr);Cost/CAPEX ($);Cost/Fuel cost ($/yr);Cost/OPEX ($/yr);System/Ren Frac (%);System/Total Fuel (tons/yr);System/Elec Prod (kWh/yr);System/Elec Cons (kWh/yr);System/Clipped Energy (%);System/Clipped Energy (kWh/yr);System/Excess Therm (kWh/yr);System/Unmet load (%);System/Unmet load (kWh/yr);System/COâ‚‚ (kg/yr);System/MRP (%);Project Economics/Present Worth ($);Project Economics/ROI (%);Project Economics/IRR (%);Project Economics/Simple Payback (yr);Bio/Capacity;Bio/Hours;Bio/Production (kWh);Bio/Fuel (tons);Bio/O&M Cost ($/yr);Bio/Fuel Cost ($/yr);LR6-72/PV Capacity (kW);LR6-72/Inverter Capacity (kW);LR6-72/CAPEX;LR6-72/Energy Production (kWh/yr);Conv/Capacity;Conv/Rectifier Mean Output (kW);Conv/Inverter Mean Output (kW);Grid/Capacity;Grid/MonthlyCapacity;Grid/Energy Purchased (kWh);Grid/Energy Sold (kWh)
10;0;0.0851;501.472.569.909.121;50;999999;493.787.563.622.429;CC;1527609;0.1738354;99892.22;997029.4;0;93755.91;5.038.096;3.647.852;1690685;1654456;4,68E-10;7,91E-06;0;1,66E-11;2,49E-09;427748.8;1.052.632;0;0;;;50;4015;145178.6;3.647.852;2007.5;0;501.472.569.909.121;0;902650.6;724581.4;493.787.563.622.429;0;7.857.903;999999;;820925.3;154671.2
1;0;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;1;0.0851;501.472.569.909.121;50;999999;493.787.563.622.429;CC;1546985;0.1760402;103540.1;997029.4;3.647.852;93755.91;5.038.096;3.647.852;1690685;1654456;4,68E-10;7,91E-06;0;1,66E-11;2,49E-09;427748.8;1.052.632;0;0;;;50;4015;145178.6;3.647.852;2007.5;3.647.852;501.472.569.909.121;0;902650.6;724581.4;493.787.563.622.429;0;7.857.903;999999;;820925.3;154671.2
10;0;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;2;0.0851;501.472.569.909.121;50;999999;493.787.563.622.429;CC;1566360;0.1782451;107187.9;997029.4;7.295.704;93755.91;5.038.096;3.647.852;1690685;1654456;4,68E-10;7,91E-06;0;1,66E-11;2,49E-09;427748.8;1.052.632;0;0;;;50;4015;145178.6;3.647.852;2007.5;7.295.704;501.472.569.909.121;0;902650.6;724581.4;493.787.563.622.429;0;7.857.903;999999;;820925.3;154671.2
5;0;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;3;0.0851;501.472.569.909.121;50;999999;493.787.563.622.429;CC;1585736;0.1808125;110835.8;997029.4;10943.56;93755.91;5.048.218;3.647.852;1687368;1651139;4,62E-10;7,79E-06;0;1,66E-11;2,49E-09;427748.8;1.052.632;0;0;;;50;4015;145178.6;3.647.852;2007.5;10943.56;501.472.569.909.121;0;902650.6;724581.4;493.787.563.622.429;0;7.857.903;999999;;817608.1;151354
1;0;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;4;0.0851;501.472.569.909.121;50;999999;493.787.563.622.429;CC;1605111;0.1830218;114483.6;997029.4;14591.41;93755.91;5.048.218;3.647.852;1687368;1651139;4,62E-10;7,79E-06;0;1,66E-11;2,49E-09;427748.8;1.052.632;0;0;;;50;4015;145178.6;3.647.852;2007.5;14591.41;501.472.569.909.121;0;902650.6;724581.4;493.787.563.622.429;0;7.857.903;999999;;817608.1;151354
10;0;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;-210524.8;-0.8703074;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;3;0.04255;654.711.716.333.543;10;999999;441.647.933.313.273;CC;1735446;0.1823218;94850.37;1231646;1.094.665;93317.52;5.003.308;3.648.884;1848091;1792065;0.4970464;9.185.872;0;0;0;381864.8;1.306.223;;;;;10;2218;6654;3.648.884;221.8;1.094.665;654.711.716.333.543;0;1178481;945997.8;441.647.933.313.273;0;1.015.949;999999;;895439.4;292279.8
5;0;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;4;0.04255;654.711.716.333.543;10;999999;441.647.933.313.273;CC;1737384;0.1825254;95215.26;1231646;1.459.553;93317.52;5.003.308;3.648.884;1848091;1792065;0.4970464;9.185.872;0;0;0;381864.8;1.306.223;;;;;10;2218;6654;3.648.884;221.8;1.459.553;654.711.716.333.543;0;1178481;945997.8;441.647.933.313.273;0;1.015.949;999999;;895439.4;292279.8
1;1;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;5;0.04255;654.711.716.333.543;10;999999;441.647.933.313.273;CC;1739322;0.182729;95580.15;1231646;1.824.442;93317.52;5.003.308;3.648.884;1848091;1792065;0.4970464;9.185.872;0;0;0;381864.8;1.306.223;;;;;10;2218;6654;3.648.884;221.8;1.824.442;654.711.716.333.543;0;1178481;945997.8;441.647.933.313.273;0;1.015.949;999999;;895439.4;292279.8
10;1;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;0;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1725420;0.1813285;93398.1;1229334;0;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;0;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
5;1;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;1;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1727358;0.1815322;93763.02;1229334;3.649.167;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;3.649.167;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
1;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;2;0.04255;653.306.618.619.183;10;999999;443.822.339.451.668;CC;1729297;0.1817359;94127.94;1229334;7.298.333;93238.1;5.001.252;3.649.167;1846513;1791472;0.4471074;8.255.897;0;0;0;382285.2;1.297.034;;;;;10;1459;7.034;3.649.167;145.9;7.298.333;653.306.618.619.183;0;1175952;943967.5;443.822.339.451.668;0;1.014.756;999999;;895511.5;291686.7
10;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;-191149.1;0.6155361;1.152.229;1.966.501;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
1;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732028;0.1822098;95900.88;1222648;1.649.647;93025.86;5.007.233;3.299.295;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382125.5;1.052.632;;;;;10;4011;12033;3.299.295;401.1;1.649.647;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893522.4;289848.9
5;1;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732042;0.1822114;95903.61;1222648;1.651.293;93025.06;5.007.301;3.302.585;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382118.6;1.052.632;;;;;10;4015;12045;3.302.585;401.5;1.651.293;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
1;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;5;0.0851;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1732042;0.1822114;95903.61;1222648;1.651.293;93025.06;5.007.301;3.302.585;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382118.6;1.052.632;;;;;10;4015;12045;3.302.585;401.5;1.651.293;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
10;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;3;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1733796;0.1823959;96233.88;1222648;1.981.551;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;1.981.551;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
5;2;0.04255;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
5;3;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1733796;0.1823959;96233.88;1222648;1.981.551;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;1.981.551;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
1;2;0.0851;66.624.101.849.019;;999999;433.029.690.942.591;CC;1738134;0.1819295;93306.04;1242537;0;93306.04;5.005.131;0;1861089;1798711;0.8057284;14995.32;0;0;0;378888.3;1.355.679;;;;;;;;;;;66.624.101.849.019;0;1199234;962656.5;433.029.690.942.591;0;1.027.715;999999;;898432.4;298925.6
10;4;0.04255;64.406.130.330.554;10;999999;543.378.194.622.067;CC;1737305;0.182765;96894.39;1222648;2.642.068;93025.06;5.007.301;660.517;1836164;1789634;3,36E-10;6,17E-06;0;9,48E-13;1,42E-08;382723;1.052.632;;;;;10;4015;12045;660.517;401.5;2.642.068;64.406.130.330.554;0;1159310;930608.9;543.378.194.622.067;0;1.009.222;999999;;893510.4;289848.9
